FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-20,2020-04-29,120,Wednesday,06:00,4,314.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-20,2020-04-29,120,Wednesday,06:00,4,314.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-21,2020-04-29,120,Wednesday,06:00,4,313.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-21,2020-04-29,120,Wednesday,06:00,4,313.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-13,2020-04-29,120,Wednesday,08:20,4,321.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-13,2020-04-29,120,Wednesday,08:20,4,321.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-14,2020-04-29,120,Wednesday,08:20,4,320.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-14,2020-04-29,120,Wednesday,08:20,4,320.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-15,2020-04-29,120,Wednesday,08:20,4,319.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-15,2020-04-29,120,Wednesday,08:20,4,319.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-16,2020-04-29,120,Wednesday,08:20,4,318.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-16,2020-04-29,120,Wednesday,08:20,4,318.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-17,2020-04-29,120,Wednesday,08:20,4,317.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-17,2020-04-29,120,Wednesday,08:20,4,317.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-18,2020-04-29,120,Wednesday,08:20,4,316.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-18,2020-04-29,120,Wednesday,08:20,4,316.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-19,2020-04-29,120,Wednesday,08:20,4,315.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-19,2020-04-29,120,Wednesday,08:20,4,315.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-20,2020-04-29,120,Wednesday,08:20,4,314.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-20,2020-04-29,120,Wednesday,08:20,4,314.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-21,2020-04-29,120,Wednesday,08:20,4,313.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-21,2020-04-29,120,Wednesday,08:20,4,313.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-13,2020-04-30,121,Thursday,06:00,4,322.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-13,2020-04-30,121,Thursday,06:00,4,322.0
3769,LUX-OPO,OPO,LUX,Eco.,64.0,64.0,2019-06-14,2020-04-30,121,Thursday,06:00,4,321.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-14,2020-04-30,121,Thursday,06:00,4,321.0
3769,LUX-OPO,OPO,LUX,Eco.,64.0,64.0,2019-06-15,2020-04-30,121,Thursday,06:00,4,320.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-15,2020-04-30,121,Thursday,06:00,4,320.0
3769,LUX-OPO,OPO,LUX,Eco.,64.0,64.0,2019-06-16,2020-04-30,121,Thursday,06:00,4,319.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-16,2020-04-30,121,Thursday,06:00,4,319.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-17,2020-04-30,121,Thursday,06:00,4,318.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-17,2020-04-30,121,Thursday,06:00,4,318.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-18,2020-04-30,121,Thursday,06:00,4,317.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-18,2020-04-30,121,Thursday,06:00,4,317.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-19,2020-04-30,121,Thursday,06:00,4,316.0
