;;;;;;;;;;;;;;;;; 2 317 792 ;;;; 18 771 ;;;
key;Departure Date;Flight Number;Day_of_week;Sum_ASK;Sum_RPK;Sum_Revenues;Load factor;Yield;RASK;Month;SEASON;leg;Percentile_RASK_target;type;uplift_population;New Revenue;Rev Upside;;New RPK;RPK Upside;PAX Upside;Stage Length;;
LG-3591_Thu_L;09/11/2017;LG-3591;Thu;68600;43120;3439;0,628571429;7,97541744;5,013119534;11;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;10/11/2017;LG-3591;Fri;68600;58800;6360;0,857142857;10,81632653;9,271137026;11;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;13/11/2017;LG-3591;Mon;68600;50960;5314;0,742857143;10,4277865;7,746355685;11;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;16/11/2017;LG-3591;Thu;64680;38220;4241;0,590909091;11,09628467;6,556895485;11;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;17/11/2017;LG-3591;Fri;68600;56840;5942;0,828571429;10,4539057;8,66180758;11;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;21/11/2017;LG-3591;Tue;68600;38220;2975;0,557142857;7,783882784;4,336734694;11;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;23/11/2017;LG-3591;Thu;68600;42140;4151;0,614285714;9,850498339;6,051020408;11;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;24/11/2017;LG-3591;Fri;68600;46060;5167;0,671428571;11,21797655;7,532069971;11;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;27/11/2017;LG-3591;Mon;68600;34300;3133;0,5;9,134110787;4,567055394;11;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;28/11/2017;LG-3591;Tue;64680;23520;1869;0,363636364;7,946428571;2,88961039;11;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;01/12/2017;LG-3591;Fri;68600;64680;6755;0,942857143;10,44372294;9,846938776;12;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;04/12/2017;LG-3591;Mon;68600;50960;5566;0,742857143;10,92229199;8,113702624;12;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;08/12/2017;LG-3591;Fri;68600;52920;5648;0,771428571;10,67271353;8,233236152;12;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;11/12/2017;LG-3591;Mon;72520;70560;6930;0,972972973;9,821428571;9,555984556;12;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;12/12/2017;LG-3591;Tue;64680;48020;5831;0,742424242;12,14285714;9,015151515;12;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;13/12/2017;LG-3591;Wed;68600;41160;3327;0,6;8,083090379;4,849854227;12;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;14/12/2017;LG-3591;Thu;68600;57820;6416;0,842857143;11,0965064;9,352769679;12;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;15/12/2017;LG-3591;Fri;68600;30380;3806;0,442857143;12,52797893;5,548104956;12;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;16/12/2017;LG-3591;Sat;68600;62720;7115;0,914285714;11,34406888;10,37172012;12;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;18/12/2017;LG-3591;Mon;68600;62720;9043;0,914285714;14,41804847;13,18221574;12;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;19/12/2017;LG-3591;Tue;68600;62720;6045;0,914285714;9,63807398;8,811953353;12;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;20/12/2017;LG-3591;Wed;68600;49980;3854;0,728571429;7,711084434;5,618075802;12;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;21/12/2017;LG-3591;Thu;60760;38220;4482;0,629032258;11,72684458;7,376563529;12;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;22/12/2017;LG-3591;Fri;68600;61740;10617;0,9;17,19630709;15,47667638;12;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;23/12/2017;LG-3591;Sat;68600;55860;11510;0,814285714;20,60508414;16,77842566;12;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;25/12/2017;LG-3591;Mon;72520;71540;7341;0,986486486;10,26139223;10,12272477;12;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;01/01/2018;LG-3591;Mon;68600;45080;2921;0,657142857;6,479591837;4,258017493;1;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;02/01/2018;LG-3591;Tue;72520;67620;5114;0,932432432;7,562851227;7,051847766;1;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;03/01/2018;LG-3591;Wed;68600;41160;4536;0,6;11,02040816;6,612244898;1;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;04/01/2018;LG-3591;Thu;68600;38220;3056;0,557142857;7,99581371;4,454810496;1;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;08/01/2018;LG-3591;Mon;68600;26460;1715;0,385714286;6,481481481;2,5;1;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;10/01/2018;LG-3591;Wed;68600;29400;2293;0,428571429;7,799319728;3,342565598;1;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;12/01/2018;LG-3591;Fri;68600;43120;4021;0,628571429;9,325139147;5,861516035;1;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;16/01/2018;LG-3591;Tue;64680;21560;2118;0,333333333;9,823747681;3,27458256;1;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;17/01/2018;LG-3591;Wed;64680;19600;2101;0,303030303;10,71938776;3,24829932;1;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;19/01/2018;LG-3591;Fri;68600;35280;3265;0,514285714;9,254535147;4,759475219;1;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;22/01/2018;LG-3591;Mon;68600;40180;3812;0,585714286;9,487307118;5,556851312;1;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;25/01/2018;LG-3591;Thu;68600;40180;4483;0,585714286;11,15729219;6,534985423;1;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;26/01/2018;LG-3591;Fri;68600;60760;7555;0,885714286;12,43416722;11,01311953;1;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;29/01/2018;LG-3591;Mon;72520;68600;6187;0,945945946;9,018950437;8,531439603;1;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;30/01/2018;LG-3591;Tue;68600;39200;3844;0,571428571;9,806122449;5,603498542;1;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;01/02/2018;LG-3591;Thu;64680;34300;3327;0,53030303;9,699708455;5,143784787;2;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;02/02/2018;LG-3591;Fri;68600;48020;4970;0,7;10,34985423;7,244897959;2;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;05/02/2018;LG-3591;Mon;68600;59780;5019;0,871428571;8,395784543;7,316326531;2;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;06/02/2018;LG-3591;Tue;64680;22540;2090;0,348484848;9,272404614;3,231292517;2;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;07/02/2018;LG-3591;Wed;68600;34300;2809;0,5;8,189504373;4,094752187;2;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;08/02/2018;LG-3591;Thu;68600;56840;6084;0,828571429;10,70372977;8,868804665;2;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;09/02/2018;LG-3591;Fri;72520;70560;10688;0,972972973;15,14739229;14,73800331;2;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;12/02/2018;LG-3591;Mon;72520;66640;6212;0,918918919;9,321728691;8,565912852;2;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;13/02/2018;LG-3591;Tue;68600;53900;3233;0,785714286;5,998144712;4,712827988;2;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;14/02/2018;LG-3591;Wed;68600;51940;4075;0,757142857;7,845591067;5,940233236;2;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;15/02/2018;LG-3591;Thu;68600;52920;5585;0,771428571;10,55366591;8,141399417;2;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;16/02/2018;LG-3591;Fri;68600;26460;3373;0,385714286;12,74754346;4,916909621;2;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
